timestamp,ShortTrend_CC,LongTrend_CC,last_BT,Before_BT,After_BT,ShortSlope_BT,BchStatus,last,id
1510563436,715716.8095,717197.8774,1175,1183.166667,1187.335979,-1.599546417,0,714194,225
1510563445,715540.619,717399.3419,1175,1184.333333,1185.169312,-3.229024833,1,714088,226
1510563454,715024.1905,717667.3763,1185.1185,1185.416667,1184.689062,-2.670146187,0,713118,227
1510563466,714543.619,717952.4516,1185,1186.666667,1183.855729,-1.563538992,0,713974,228
1510563475,714115.7143,718182.9161,1187,1188.167989,1182.853084,0.717671377,-2,713698,229
1510563483,714042.7619,718405.3011,1189.672826,1188.584656,1182.798555,3.121303657,0,713445,230
1510563496,713765.5714,718513.0043,1185,1187.751323,1184.465221,1.876085041,0,713664,231
1510563509,713468.8571,718565.957,1186.865975,1186.667989,1186.442884,0.32600571,-2,713740,232
1510563509,713769.0952,718554.8194,1176.417631,1186.677865,1184.992739,-1.371049885,-2,713740,233
1510563524,713492.8571,718403.7054,1176.417631,1186.261198,1183.562344,-2.594612993,0,714237,234
1510563535,713261.619,718175.3204,1176.535273,1186.011198,1181.818223,-2.910949,-2,715164,235
1510563543,713331.7143,717879.8645,1176.535273,1186.1506,1179.628631,-2.094735351,0,715567,236
1510563556,713616.8571,717450.9204,1176.3,1185.9006,1178.178631,-1.49598015,0,715263,237
1510563565,714150.619,716994.0968,1176.3,1185.806098,1176.417635,-0.026887131,-2,714891,238
1510563573,714924.4286,716656.5032,1176.3,1184.840901,1176.39803,-0.043692845,0,714494,239
1510563585,715563.7619,716336.0172,1176.3,1183.709036,1176.378424,-0.053776775,0,714026,240
1510563608,715674.381,716118.1806,1183.815296,1182.335653,1177.591762,1.040003259,0,713399,241
1510563594,715253.3333,715861.2086,1183.815296,1181.213593,1178.805099,1.717781989,-2,713456,242
1510563608,714744.2381,715582.0968,1183.815296,1181.321926,1180.057648,1.932504737,0,713399,243
1510563629,713975.9048,715201,1175,1181.430259,1179.840981,0.45845396,-2,714664,244
1510563639,713452.9524,714972.4065,1176.3,1180.695384,1179.840981,-0.755596819,0,714595,245
1510563639,713256.4286,714733.7484,1160,1179.970384,1177.124315,-4.298219022,0,714595,246
1510563652,713626.2381,714653.4215,1160,1179.704992,1173.155099,-5.406353417,-2,714243,247
1510563662,714096.5238,714618.0753,1175.71185,1179.216865,1171.804524,-2.909063754,0,714149,248
1510563673,714732.1905,714521.6366,1175.71185,1179.118139,1170.45395,0.051279982,0,714000,249
1510563683,714544.4762,714374.1247,1175.71185,1178.129308,1170.572592,1.71161854,-2,714346,250
1510563692,714322.8571,714141.0237,1175,1178.119506,1170.355925,3.489587128,0,714527,251
1510563703,714049.4286,714004.8688,1161.71185,1176.75137,1170.641233,0.183534279,0,714748,252
1510564014,714091.5714,713915.0882,1190,1175.37343,1175.641233,0.82082573,1,714438,253
1510564028,714206.3333,713909.7075,1190,1175.304812,1178.022592,2.886201453,0,714532,254
1510564028,714475.1429,713893.0581,1190,1175.255799,1180.40395,4.135111456,0,714532,255
1510564046,714509.6667,713867.5527,1190,1175.206787,1182.785308,4.567555725,1,714950,256
1510564055,714500.2857,713973.9312,1190,1175.098453,1185.285308,4.041164299,0,715000,257
1510564067,714582.9524,714032.6323,1190,1173.882774,1190,-5.71E-10,0,714098,258
1510564074,714488,714036.8043,1190,1174.398166,1190,-2.86E-09,1,715628,259
1510564084,714293.9048,714021.8882,1199.4,1174.913558,1191.566667,1.342857124,0,716712,260
1510564084,714411.2381,713998.8495,1198,1175.42895,1192.9,1.948571416,0,716712,261
1510564103,714701.5238,714029.6602,1198.8003,1176.67895,1194.366717,2.21147141,1,715976,262
1510564113,715208.2857,714107.5333,1194.803991,1177.820617,1195.167382,1.400595861,0,715434,263
1510564128,716327.3333,714113.9312,1194.803991,1180.320617,1195.968047,0.315206537,0,715702,264
1510564133,716610.381,713991.9097,1194.803991,1182.820617,1196.768712,-1.044696565,1,715939,265
1510564143,716104.7143,713786.2301,1185.108447,1184.794629,1194.386787,-2.18419113,0,716519,266
1510564163,715571.8571,713627.3462,1190,1186.651975,1193.053453,-2.0882323,1,716517,267
1510564173,715582,713551.5032,1181.1185,1188.576012,1190.106487,-2.643856321,0,716096,268
1510564183,715978.619,713538.8968,1185.108447,1190.226345,1188.490563,-2.418361095,0,716054,269
1510564193,716252.7619,713588.5183,1189.170577,1192.984023,1187.551661,-1.058530512,-2,716224,270
1510564206,716331.4762,713700.514,1189.170577,1193.384356,1186.612758,0.62320942,0,716812,271
1510564219,716302.9048,713875.8237,1189.170577,1192.976727,1187.28978,0.687749968,0,716000,272
1510564227,716112,714046.8452,1194,1192.976727,1187.956447,2.188396831,-2,716470,273
1510564236,716182.6667,714065.0989,1190,1192.236602,1189.436697,1.112743735,0,716535,274
1510564246,716329.9524,714100.1677,1189.170577,1191.828972,1190.113718,0.209076865,0,716609,275
1510564158,716459.1905,714153.2882,1154.908953,1191.759854,1184.403448,-5.008803493,0,716525,276
1510564246,716223.4286,714260.7355,1154.908953,1191.690735,1178.693177,-8.268876739,0,716609,277
1510564263,716372.1905,714355.5763,1189.170577,1190.838283,1178.693177,-4.676625096,0,717280,278
1510564273,716274.2857,714453.7527,1198.8003,1190.50495,1179.493227,1.257185694,0,717890,279
1510564294,716492.2857,714580.329,1198.8003,1189.771592,1180.959943,6.116693635,0,717069,280
1510564303,716600.2857,714657.0452,1198.8003,1189.302141,1182.564897,10.30744278,0,717788,281
1510564311,717081.6667,714772.4215,1198.8003,1185.977554,1189.880122,7.095597191,1,717006,282
1510564323,717539.1905,714932.1376,1198.8003,1182.652968,1197.195346,1.375674633,0,717198,283
1510564337,717789.7143,715146.5032,1198.8003,1182.991478,1198.8003,0,0,716378,284
1510564344,717568.3333,715392.8903,1198.8003,1183.724837,1198.8003,0,1,716044,285
1510564354,717676.6667,715607.871,1198.8003,1185.19832,1198.8003,0,0,715802,286
1510564368,717088.0952,715810.1204,1198.8003,1186.339308,1198.8003,0,0,715994,287
1510564376,716759.0476,716137.3032,1198.8003,1187.141785,1198.8003,0,1,716023,288
